,label,study_and_condition
0,__label__0,recur verruc carcinom larynx diagnos paty must agr us adequ bir control dur study particip least eight week discontinu study drug recurrent verrucous carcinoma larynx diagnosis patients must agree use adequate birth control duration study participation least eight weeks discontinuation study drug
1,__label__1,hodgkin lymphom diagnos hist congenit hematolog immunolog metabol disord estim pi pos prohibit risk recipy hodgkin lymphoma diagnosis history congenital hematologic immunologic metabolic disorder estimation pi pose prohibitive risk recipient
2,__label__0,recur adult diffus mix cel lymphom diagnos creatinin clear crcl gre fifty ml per minut test must perform within twentyeight day pri reg recurrent adult diffuse mix cell lymphoma diagnosis creatinine clearance crcl greater fifty ml per minute test must perform within twentyeight days prior registration
3,__label__0,stag ii diffus larg cel lymphom diagnos stag ii bulky diseas defin mass siz ten cm stag ii iv ann_arbor stag paty stag stag ii non bulky diseas exclud study stage iii diffuse large cell lymphoma diagnosis stag ii bulky disease define mass size ten cm stage iii iv ann_arbor stag patients stage stage ii non bulky disease exclude study
4,__label__1,prost cant diagnos unresolv ira follow pri biolog therapy exceiv stabl man ira may acceiv hypothyroid hypopituit appropry replac prostate cancer diagnosis unresolved iraes follow prior biological therapy except stable manage iraes may acceptable hypothyroidism hypopituitarism appropriate replacement
5,__label__1,stag ii prim periton cant diagnos uncontrol hypertend defin systol greater_than on hundr fifty mm hg diastol greater_than nin mmhg stage iiic primary peritoneal cancer diagnosis uncontrolled hypertension define systolic greater_than one hundred fifty mm hg diastolic greater_than ninety mmhg
6,__label__0,stag iib uterin sarcom diagnos paty must ent twelv week post op stage iib uterine sarcoma diagnosis patients must enter twelve weeks post operatively
7,__label__0,stag iv child smal noncleav cel lymphom diagnos acut myeloid leukem aml stage iv childhood small noncleaved cell lymphoma diagnosis acute myeloid leukemia aml
8,__label__1,non secret multipl myelom non secretory multiple myeloma
9,__label__1,hep neoplasm diagnos sev ren dysfunct creatinin clear less_than forty ml min hepatic neoplasms diagnosis severe renal dysfunction creatinine clearance less_than forty ml min
10,__label__1,breast neoplasm diagnos concur tre expery drug breast neoplasms diagnosis concurrent treatment experimental drug
11,__label__0,lymphom diagnos myelofibros myeloprol disord lymphoma diagnosis myelofibrosis myeloproliferative disorder
12,__label__0,prim periton cant diagnos creatinin cr less_than equal_than doc mg dl primary peritoneal cancer diagnosis creatinine cr less_than equal_than doc mg dl
13,__label__1,stag iiib non smal cel lung cant diagnos sign uncontrol cardiac diseas within past six month includ follow stage iiib non small cell lung cancer diagnosis significant uncontrolled cardiac disease within past six months include follow
14,__label__1,metachromatic_leukodystrophy mld diagnos evid hum immunodeficy vir hiv infect known hiv posit serolog metachromatic_leukodystrophy mld diagnosis evidence human immunodeficiency virus hiv infection know hiv positive serology
15,__label__0,stag iiib hodgkin lymphom diagnos mal doc mg dl fem doc mg dl stage iiib hodgkin lymphoma diagnosis male doc mg dl female doc mg dl
16,__label__1,fallop tub clear cel adenocarcinom diagnos hist sev allerg anaphylact hypersensit react chim hum antibody fus protein fallopian tube clear cell adenocarcinoma diagnosis history severe allergic anaphylactic hypersensitivity reactions chimeric humanize antibodies fusion proteins
17,__label__0,tripl neg breast cant diagnos mal subject childbear pot must agr us adequ method contraceiv start first dos study therapy on hundr twenty day last dos study therapy triple negative breast cancer diagnosis male subject childbearing potential must agree use adequate method contraception start first dose study therapy one hundred twenty days last dose study therapy
18,__label__0,esoph cant tnm stag prim tum tthree diagnos regul follow esophageal cancer tnm stag primary tumor tthree diagnosis regular follow
19,__label__1,admin simult chemotherapy drug ant therapy ant neoplast hormon therapy simult radiotherapy tri tre period hormon replac therapy permit steroid antiemet administration simultaneous chemotherapy drug anticancer therapy anti neoplastic hormonal therapy simultaneous radiotherapy trial treatment period hormonal replacement therapy permit steroidal antiemetics
20,__label__0,kidney cant diagnos subject must arch cur tissu prim metast foc avail psma determin kidney cancer diagnosis subject must archive current tissue primary metastatic focus available psma determination
21,__label__0,recur grad two follicul lymphom diagnos don recurrent grade two follicular lymphoma diagnosis donor
22,__label__1,recur prim periton carcinom diagnos diagnos immunodeficy receiv system steroid therapy form immunosuppress therapy within sev day pri first dos tri tre tak med might affect immun funct recurrent primary peritoneal carcinoma diagnosis diagnosis immunodeficiency receive systemic steroid therapy form immunosuppressive therapy within seven days prior first dose trial treatment take medication might affect immune function
23,__label__0,stag grad on follicul lymphom diagnos tre on regim haart tot least six month dur stage grade one follicular lymphoma diagnosis treat one regimen haart total least six months duration
24,__label__1,refract diffus larg cel lymphom diagnos left ventricul eject fract lvef less_than fifty regardless wheth symptom heart fail refractory diffuse large cell lymphoma diagnosis leave ventricular ejection fraction lvef less_than fifty regardless whether symptoms heart failure
25,__label__0,cerv adenosarcom diagnos platelet count plt greater_than equal_than on hundr zero mm three cervical adenosarcoma diagnosis platelet count plt greater_than equal_than one hundred zero mm three
26,__label__0,lymphom diagnos pri allerg react compound simil chem biolog composit ucn on ag study lymphoma diagnosis prior allergic reactions compound similar chemical biological composition ucn one agents study
27,__label__1,metast colorect cant diagnos known hist alcohol drug abus metastatic colorectal cancer diagnosis know history alcohol drug abuse
28,__label__1,contigu stag ii adult diffus smal cleav cel lymphom diagnos paty rapid progress aggress nhl unless minim diseas stat contiguous stage ii adult diffuse small cleave cell lymphoma diagnosis patient rapidly progressive aggressive nhl unless minimal disease state
29,__label__0,recur follicul lymphom diagnos absolv neutrophil count ant greater_than equal_than on thousand mm three independ grow fact support recurrent follicular lymphoma diagnosis absolute neutrophil count anc greater_than equal_than one thousand mm three independent growth factor support
